SECTION,Timestamp,Name,First preference,Second preference,Third preference,Fourth preference,,,,,,,,,
101,1/17/2023 23:03:20,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 14:27:59,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,"102 - Fri 1-2pm, 310 Soda",,,,,,,,,
101,1/17/2023 17:43:25,,"101 - Wed 11am-12pm, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/18/2023 8:10:35,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
101,1/17/2023 22:15:03,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
101,1/19/2023 0:28:12,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 16:08:23,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 23:04:19,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/18/2023 15:16:14,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/19/2023 19:02:59,,"101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/18/2023 9:15:43,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 12:49:49,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 14:46:18,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/20/2023 8:04:51,,"101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/20/2023 13:40:26,,"101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/18/2023 11:48:56,,"101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 18:09:45,,"101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 17:54:34,,"101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 18:23:10,,"101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/17/2023 17:53:30,,"101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
101,1/24/2023 19:38:05,,"102 - Fri 1-2pm, 310 Soda",,,,,,,,,,,,
102,1/19/2023 15:39:49,,"102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/19/2023 14:15:23,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 21:23:56,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory","101 - Wed 11am-12pm, 540 Cory",,,,,,,,,
102,1/17/2023 14:59:19,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 12:58:40,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda","101 - Wed 11am-12pm, 540 Cory","103 - Thu 10-11am, 540 Cory",,,,,,,,,
102,1/17/2023 12:51:22,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda","101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 14:59:38,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory","101 - Wed 11am-12pm, 540 Cory",,,,,,,,,
102,1/17/2023 12:48:38,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 13:57:40,,"104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/20/2023 23:27:28,,"102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/19/2023 23:53:34,,"102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/20/2023 17:27:40,,"102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory","101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 17:20:41,,"102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/18/2023 9:37:27,,"102 - Fri 1-2pm, 310 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 22:17:18,,"102 - Fri 1-2pm, 310 Soda","104 - Wed 2-3pm, 320 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 15:02:06,,"102 - Fri 1-2pm, 310 Soda","104 - Wed 2-3pm, 320 Soda","103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/19/2023 14:21:18,,"102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/17/2023 14:59:36,,"102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/18/2023 9:45:29,,"102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/21/2023 19:39:11,,"102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/18/2023 16:03:38,,"102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
102,1/23/2023 23:00:19,,"102 - Fri 1-2pm, 310 Soda","102 - Fri 1-2pm, 310 Soda","102 - Fri 1-2pm, 310 Soda","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
103,1/18/2023 9:08:22,,"103 - Thu 10-11am, 540 Cory","101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/20/2023 17:20:33,,"103 - Thu 10-11am, 540 Cory","101 - Wed 11am-12pm, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/17/2023 15:08:58,,"103 - Thu 10-11am, 540 Cory","101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
103,1/19/2023 17:47:45,,"103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/19/2023 14:29:01,,"103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/17/2023 15:06:51,,"103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/20/2023 4:39:55,,"103 - Thu 10-11am, 540 Cory","102 - Fri 1-2pm, 310 Soda","101 - Wed 11am-12pm, 540 Cory","104 - Wed 2-3pm, 320 Soda",,,,,,,,,
103,1/17/2023 12:09:03,,"103 - Thu 10-11am, 540 Cory","104 - Wed 2-3pm, 320 Soda","101 - Wed 11am-12pm, 540 Cory","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
103,1/17/2023 20:00:22,,"103 - Thu 10-11am, 540 Cory","104 - Wed 2-3pm, 320 Soda","101 - Wed 11am-12pm, 540 Cory","102 - Fri 1-2pm, 310 Soda",,,,,,,,,
103,1/18/2023 9:51:50,,"103 - Thu 10-11am, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/20/2023 22:12:22,,"103 - Thu 10-11am, 540 Cory","104 - Wed 2-3pm, 320 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/17/2023 18:47:57,,"103 - Thu 10-11am, 540 Cory","104 - Wed 2-3pm, 320 Soda","102 - Fri 1-2pm, 310 Soda",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/18/2023 15:29:22,,"103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
103,1/19/2023 1:07:12,,"103 - Thu 10-11am, 540 Cory",I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,I have a schedule conflict which prevents me from attending other section times except for the one(s) listed as higher preferences,,,,,,,,,
